search_keyword,jobName,custName,coIndustryDesc,jobRole,salaryLow,salaryHigh,salaryType,jobAddrNoDesc,jobAddress,remoteWorkType,optionEdu,periodDesc,major,applyCnt,appearDate,description,jobLink
行銷,KOL 網紅行銷專員 Influencer Marketing Specialist,東朱數位行銷有限公司,其他零售業,未知,0035000,0045000,月薪,台北市中正區,仁愛路二段2號2樓,部分遠端,高中,經歷不拘,,00012,2026-01-10,"【 關於我們 】
＜DDM 東朱數位行銷＞是一家專注於 群眾募資與品牌電商 的新創顧問公司，
累積操作的募資與電商專案總銷售已突破 5 億元。
我們同時自營選物品牌《SANGU 三谷家電》，
與合作廠商攜手從產品開發、專案規劃到行銷實操，全程一手包辦。

在 DDM，我們相信好的內容能放大產品的價值。
KOL 團隊是行銷鏈中的關鍵節點——負責讓品牌策略、創意內容與創作者合作無縫接軌，我們不只追求聲量，更在意如何讓內容真正帶來影響力。

如果你想加入一個 能讓創意與執行並行的新創行銷團隊，這裡，會是最適合你發揮的舞台。

------------------------------

【 我們正在尋找 】
我們正在尋找一位對社群行銷趨勢敏銳、擅長溝通協作的 KOL 行銷專員。

在 DDM，我們專注於募資與電商的整合行銷，致力於打造真正「有感」的內容。
作為 KOL 合作專員，你將成為品牌與創作者之間的關鍵橋梁——從篩選名單、接洽報價，到合約簽訂、內容確認、上刊追蹤，每一步都由你主導。

這份工作不需要你寫企劃，但你會深度參與每一次精彩的合作。我們重視你的邏輯力、觀察力與溝通力，因為真正能推動專案成功的，是一位懂人、懂內容、也懂節奏的你。

------------------------------

【 工作內容 】
■ 尋找、聯繫、維護 KOL/KOC 合作對象，建立專屬創作者名單
■ 洽談報價、簽約、對稿，讓合作高效落地
■ 執行網紅業配專案，追蹤進度與成效
■ 協助審稿與內容確認，確保貼文、影片等素材符合品牌形象
■ 持續觀察社群趨勢，提出具操作性的合作建議
■ 協助處理專案行政與追進度，讓團隊能安心往前推

------------------------------

【 我們希望你 】
■ 具 1 年以上社群行銷、KOL 合作或專案執行經驗（電商、內容產業尤佳）
■ 擅長溝通協調，能同時應對多案並行與緊湊時程
■ 熟悉 Facebook、Instagram、TikTok 等社群平台內容生態
■ 具備良好的文字與口語表達能力，能與創作者建立信任關係
■ 細心負責，能清楚紀錄與管理合作細節、素材時程
■ 對內容趨勢敏銳，能快速辨識優質創作者與潛力內容

------------------------------

【 如果你具備以下，更是加分！ 】
■ 有與電商品牌、募資專案合作經驗
■ 熟悉 KOL 後台報表或成效分析
■ 具影片腳本、內容提案或社群文案經驗
■ 熟悉 Notion、Slack、Google Sheets 等協作工具

我們相信，「真誠的溝通，才是讓內容被看見的起點。」

在 DDM，每一場合作都不只是曝光，而是一場讓品牌、創作者與觀眾產生連結的對話。

如果你樂於溝通、擅長協調細節，想在高速成長的新創團隊中，看見內容如何變成影響力—— 那就加入 DDM，讓更多好產品被看見。",https://www.104.com.tw/job/8e2rf
行銷,醫藥行銷-專案人員(Account Executive)P,亞典醫藥/醫療行銷公關_亞典行銷顧問有限公司,廣告行銷公關業,未知,0037000,0047000,月薪,台北市南港區,三重路19-2號6F-3(南軟一期D棟),部分遠端,專科,1年以上,"大眾傳播學科類,市場行銷相關,醫藥衛生學科類",00002,2026-01-12,"此職位負責規劃與執行醫藥相關行銷專案，從企劃、活動執行到成效分析。

核心職責：
(1) 專案企劃：依據不同專案需求規劃公關企劃案
(2) 專案執行：公關企劃案的執行，如採訪撰稿、活動執行等
(3) 專案時程與預算管理：控管專案預算與時程，廠商聯繫與協調
(4) 專案成效追蹤與報告：蒐集與分析專案執行成效並提出優化建議

日常工作：
(1) 主管交辦任務
(2) 定期專案進度彙報

｛亞典金句｝希望與理念永遠存在，只是看你信與不信。-電影《刺激1995》

進一步認識亞典，歡迎至我們的網站 
醫療/醫藥行銷顧問第一品牌 www.edenfront.com.tw",https://www.104.com.tw/job/8wgcp
行銷,行銷企劃實習生 (畢業後經考核可轉正),上策行銷有限公司,廣告行銷公關業,未知,0000196,0000220,時薪,台北市中山區,民生東路二段174號6樓,部分遠端,專科,經歷不拘,"企業管理相關,市場行銷相關,國際貿易相關",00004,2026-01-05,"【Bespo實習生培訓系統】
第一步、到職註冊

第二步、口碑[[[行銷]]]基礎概念培訓

第三步、初試考核 (到職滿一個月)
考核六項口碑[[[行銷]]]基礎能力
通過與否將決定實習生之去留
通過者將進入第二階段完整寫文訓練

第四步、二試考核(到職滿三個月)
寫文",https://www.104.com.tw/job/7q6fx
行銷,【專案統籌經理PM】 Project Manager 行銷專案維運,熱點行銷股份有限公司,廣告行銷公關業,未知,0045000,0060000,月薪,台北市大安區,和平東路一段6號11樓,完全遠端,大學,1年以上,"市場行銷相關,一般商業學類,企業管理相關",00005,2025-08-08,"【工作內容】

作為熱點[[[行銷]]] HotSpot 的【專案統籌經理】，您將在數位整合[[[行銷]]]團隊中扮演關鍵角色，負責統籌管理客戶的數位[[[行銷]]]專案。您的主要職責將涵蓋以下範疇：

1. 專案策劃：根據客戶需求和市場趨勢，為客戶策劃整合性的數位[[[行銷]]]專案，以達到",https://www.104.com.tw/job/7ygi6
行銷,行銷企劃,阿法文創行銷有限公司,藝文服務業,未知,0005000,0008000,面議,台中市北屯區,軍功路一段279號,完全遠端,學歷不拘,經歷不拘,,00006,2026-01-04,"1. 負責[[[行銷]]]企劃案的撰寫、規劃，籌備、執行公司對外的[[[行銷]]]活動與媒體活動（如：展覽、促銷活動），並對其效益進行分析與建議。
2. 進行產業競爭分析及市場調查分析。
3. 建立、分析現有顧客與潛在顧客資料，並發展客戶維繫方案。
4. 建立、推廣、經",https://www.104.com.tw/job/8kw26
行銷,行銷專員│運動產業,粉紅行銷股份有限公司,網際網路相關業,未知,0000000,0000000,面議,台北市大安區,仁愛路三段25號10樓,部分遠端,專科,1年以上,,00003,2025-12-14,"工作內容：
讓每場賽事變得更吸引人，歡迎對專案企劃或運動產業[[[行銷]]]有興趣夥伴應徵！
◆加入我們
如果你熱愛籃球體育、擅長故事[[[行銷]]]與活動策劃，
想在品牌與球場之間打造最有感的運動[[[行銷]]]內容，
歡迎加入我們的團隊，成為推動籃球文化的新力量！ 

◆品牌",https://www.104.com.tw/job/8ut8n
行銷,智掃通股份有限公司 - 行銷企劃,聯雲科技股份有限公司,網際網路相關業,未知,0045000,9999999,月薪,台北市松山區,東興路26號12樓,部分遠端,大學,經歷不拘,"企業管理相關,市場行銷相關,大眾傳播學相關",00004,2026-01-05,"一、 為什麼這個職位很重要？
作為一個橫跨[[[行銷]]]、業務支援與產品設計的角色，在產品測試與市場驗證階段，你的任務是協助商家理解平台產品邏輯，讓他們看得懂、做得到，並將第一線的市場行為轉化為可供團隊決策參考的回饋。

二、你的核心任務（客戶洞察）

1",https://www.104.com.tw/job/8x6pi
行銷,行銷服務部-專案副理,正平整合行銷股份有限公司,工商顧問服務業,未知,0000000,0000000,面議,台北市中正區,仁愛路2段70號4樓,部分遠端,大學,4年以上,"大眾傳播學相關,市場行銷相關,其他商業及管理相關",00004,2026-01-09,"1. 為客戶[[[行銷]]]專案提供規劃/建議，負責客戶品牌各式[[[行銷]]]活動。
2. 將[[[行銷]]]與創意結合進行發想、規劃。
3. 帶領組員共同推動專案成果。
4. 與品牌端或廠商討論合作方案，找出最佳解決方案。
5. 協助專案控管與資料搜集，能與內部協作單位及外部客",https://www.104.com.tw/job/8dvg0
行銷,口碑行銷企劃,丞相帶風象行銷有限公司,廣告行銷公關業,未知,0035000,0045000,月薪,台北市中山區,建國北路3段94號4樓,完全遠端,大學,經歷不拘,,00004,2025-10-16,"【工作內容】
1. 文案發想：撰寫能夠在論壇上引發討論和聲量的文章。
2. 輿情分析：為客戶提供最佳的口碑[[[行銷]]]建議。
3 專案管理：規劃工作排程、監測話題熱度、控制風險及維持輿論平衡。
4. 報告製作：整合資料並分析成效，製作結案報告。

【我們",https://www.104.com.tw/job/8f8ct
行銷,行銷企劃,競禾實業股份有限公司,綜合商品批發代理業,未知,0000000,0000000,面議,台北市松山區,南京東路四段133巷9弄33號1樓,部分遠端,專科,2年以上,,00002,2025-12-26,"**協助品牌打造可變現的數位IP
**核心目標是讓專業變成流量，內容轉化爲成交

【工作內容】
1. 規劃線上課程產品（包含定位、內容架構、[[[行銷]]]企劃、轉化旅程）
2. 與講師（營養師、心理諮商師、醫師等）合作，產出課程內容腳本與教材企劃
3. 操",https://www.104.com.tw/job/89nke
